Symbol,Max_Market_RSI_Diff_3M
ESLT,68.04514577975984
PTGX,64.91041020674426
T,64.8055284192519
COOP,64.3451010271099
BRO,63.09504705914364
DGICA,62.872495931803385
NI,62.698608625576696
PDEX,58.297973120771175
TIPT,57.32950495149234
DRD,56.914519045997125
NGVC,56.040115424266986
CNL,55.91010151284932
TFPM,55.64087916610647
SPNT,55.54430730384077
NUTX,55.098094319756314
TGTX,54.788186927159614
TISI,53.825548933791126
HCI,52.53087278395361
TIGO,52.4202497570152
DB,52.08472862875746
FCAP,51.945209216248415
HURN,51.64181160509254
FNV,51.39647708461284
HMY,51.33040718970517
TRP,50.725568480027775
LARK,49.86648145522342
ALHC,49.075318519044544
WGS,48.61905415006417
BNTC,48.53344341059545
SONY,48.150820614101534
NYC,48.0715130222158
SKWD,47.94187921358572
AU,47.47672055376047
BLX,47.388036924488574
UGI,47.35993756515401
SLNO,47.18247001437082
AEE,46.95488206876536
PM,46.72771075725687
AJG,46.618856477422156
COST,46.527199896603264
PAYC,46.3533889355154
NWG,45.28094707389474
WPM,45.09498423624878
ASA,44.87983412380267
HNRG,44.7995355134281
VLGEA,44.67787641040928
CXW,44.58773447375438
BKTI,44.51049556507874
SFM,44.45533607665651
IDR,44.433196192729724
PLMR,44.233853434229246
TMUS,44.215837627997445
AHR,43.816305216950425
NYAX,43.624262456006406
EZPW,43.54428403628596
RYAN,43.22497957274848
COKE,42.95861192616171
WRB,42.927707265767395
CASY,42.876888898779086
AGI,42.720625612405684
BJ,42.454768850925376
AEM,41.448881106320485
KGC,41.40865304213611
VEON,41.16201362529455
CRVL,40.11953184616851
AXS,39.94672236401997
UNB,39.70155371876284
WMT,39.20072158645992
OLLI,38.73533275671699
PLTR,38.62634562187209
GRND,38.54150667251886
MRCY,38.28367860483149
GFL,37.93231954492313
LRN,37.86289412894483
ESQ,37.35562471250317
USM,37.14485449946329
BRBR,36.63318604517508
LINC,36.13633546819712
SSRM,35.8631230805024
LTH,35.588770333744705
IDT,35.231452129917976
GENI,34.98141568965535
EQT,34.937550046848045
CRK,34.84027766048739
MP,34.81633841753872
PEN,34.770389652016675
WHG,34.523386529424556
PAAS,33.92977681058643
APEI,33.1318600022828
DRI,32.29558872927406
LNG,32.16411925259678
WMB,32.031458931599936
MSB,31.94116435590162
MNPR,31.933749856838574
GEO,31.89057786399156
TARS,30.951853075506996
ATGE,30.562646168222393
TATT,30.370182671849165
SKE,29.745874173247138
KINS,29.614853402765497
SRAD,29.185755022728557
FEIM,28.595737367212102
EAT,27.954069232790324
USGO,25.50731126852296
SNEX,25.49329683056498
BBSI,25.303590851825412
PAM,25.276959240488488
CHWY,25.240306528636893
CSV,25.21794857242876
VIRT,24.06702529846728
UTI,22.803474204119446
DTM,22.320585279279925
ATLC,22.245896324134222
TGS,20.553873107635106
BBAR,18.80996771061296
