Symbol,Date,Total Assets,Total Liabilities,Total Equity,Total Revenue,Gross Profit,Operating Income,Net Income,Net profit margin,EPS
ADVWW,2023-12-31,3779323000.0,2675246000.0,1104077000.0,4224846000.0,564382000.0,74594000.0,-63258000.0,-0.014972853448386048,
BENFW,2024-03-31,368501000.0,309567000.0,58934000.0,-98908000.0,-164037000.0,-221694000.0,-2095641000.0,21.187780563756217,
BRKHW,2023-12-31,72594378.0,41441175.0,31153203.0,0.0,,-3384810.0,1339142.0,,
CELUW,2023-12-31,143889000.0,102929000.0,40960000.0,22771000.0,6755000.0,-76479000.0,-196295000.0,-8.620394361248957,
CMPOW,2024-12-31,473918000.0,617364000.0,-143446000.0,420571000.0,219227000.0,107622000.0,-53719000.0,-0.12772873070183155,
CMPOW,2023-12-31,201041000.0,406814000.0,-205773000.0,390629000.0,209082000.0,119087000.0,19239000.0,0.049251335666322775,
CORZW,2024-12-31,1598815000.0,2418995000.0,-820180000.0,510672000.0,121070000.0,-12229000.0,-1315005000.0,-2.5750481718206597,
CORZW,2023-12-31,712156000.0,1309097000.0,-596941000.0,502400000.0,123459000.0,15348000.0,-246487000.0,-0.4906190286624204,
CSLRW,2023-12-31,47322000.0,124135000.0,-76813000.0,87616000.0,17788000.0,-52358000.0,-269555000.0,-3.076549945215486,
DAVEW,2024-12-31,299327000.0,116226000.0,183101000.0,347076000.0,316699000.0,34611000.0,57873000.0,0.16674445942675378,
DAVEW,2023-12-31,294023000.0,206960000.0,87063000.0,259093000.0,230167000.0,-42200000.0,-48517000.0,-0.18725708529369764,
KITTW,2023-12-31,26148475.0,67935325.0,-41786850.0,6606352.0,-5322579.0,-28266296.0,-50686601.0,-7.672403922770085,
LTRYW,2023-12-31,64377218.0,27761216.0,36616002.0,6987474.0,1320930.0,-25167116.0,-25739655.0,-3.6836852630864887,
LUNRW,2023-12-31,85908000.0,139327000.0,-53419000.0,79521000.0,-20951000.0,-55273000.0,62804000.0,0.7897788005684033,
RGTIW,2023-12-31,159913000.0,50325000.0,109588000.0,12008000.0,9208000.0,-71304000.0,-75107000.0,-6.254746835443038,
SVIIW,2023-12-31,250575588.0,8224062.0,242351526.0,0.0,,-875462.0,10971101.0,,
TVGNW,2023-12-31,17037333.0,17733130.0,-695797.0,0.0,,-2273970.0,-67325.0,,
MAZE,2023-12-31,71504000.0,445352000.0,-373848000.0,0.0,,-98551000.0,-100415000.0,,
MTSR,2023-12-31,168841000.0,214023000.0,-45182000.0,0.0,,-29448000.0,-46048000.0,,-0.73
FGMCU,2024-12-31,169035.0,171667.0,-2632.0,0.0,,-25850.0,-25850.0,,
SFD,2023-12-31,13317000000.0,5830000000.0,7487000000.0,14640000000.0,889000000.0,-150000000.0,17000000.0,0.0011612021857923497,0.043245
FLOC,2023-12-31,392088000.0,258337000.0,133751000.0,665311000.0,193835000.0,193835000.0,191682000.0,0.2881088693858962,
HIT,2023-12-31,11503292.0,5410066.0,6093226.0,19151502.0,16847591.0,3383091.0,2476660.0,0.12931936095664978,0.045805
CEPO,2023-12-31,2740.0,0.0,2740.0,0.0,,-3472.0,-3472.0,,-0.000136
AVR,2023-12-31,30527440.0,11629367.0,18898073.0,2734821.0,876800.0,-46788108.0,-46021841.0,-16.82809990123668,-1.280525
TTAN,2024-01-31,1517666000.0,1995529000.0,-477863000.0,614341000.0,376630000.0,-182864000.0,-195145000.0,-0.31764931853807576,-2.731476
