Symbol,MonthsTrendingDown
AADI,1
AADR,1
AAOI,1
AAPB,1
AAPL,1
AAPU,1
AAPX,1
AAPY,1
AAT,2
ABLLL,1
ABTS,1
ACA,1
ACB,1
ACCO,1
ACDC,1
ACES,1
ACHR,1
ACIC,2
ACIO,1
ACLX,3
ACM,3
ACNT,1
ACR,1
ACRE,1
ACRS,2
ACSI,1
ACU,1
ACV,1
ACVA,1
ACWI,1
ADEA,1
ADIL,1
ADMA,1
ADME,1
AE,1
AENT,1
AEON,1
AESR,1
AETH,1
AEVA,1
AFBI,1
AFRI,1
AFRM,1
AGFY,1
AGIX,1
AGM,1
AGMH,4
AGNCL,3
AGYS,1
AGZD,1
AHH,1
AHR,2
AI,1
AIBU,1
AIFD,1
AIMBU,1
AIO,1
AIOT,1
AIP,1
AIPI,1
AIQ,1
AIRE,1
AIRJ,1
AIRL,1
AIRS,2
AIRT,1
AIRTP,2
AIXI,1
AIYY,1
AJAN,1
AKA,1
AKR,3
AKTS,1
AL,1
ALAB,1
ALAI,1
ALAR,2
ALB,2
ALG,1
ALGS,1
ALKT,2
ALNT,1
ALOT,1
ALRM,1
ALSA,1
ALT,1
ALTI,2
ALXO,1
AMBA,1
AMBC,1
AMC,2
AMH,1
AMOM,1
AMPG,1
AMPL,1
AMR,1
AMS,1
AMSF,2
AMST,1
AMTB,1
AMTD,1
AMTX,2
AMZN,1
AMZP,1
AMZU,1
AMZY,1
AMZZ,1
ANF,1
ANTX,1
ANY,2
AOGO,1
AOMN,1
AOSL,1
AOTG,1
APAM,1
APEI,1
APG,1
APH,2
APLD,1
APLE,1
APLS,1
APLY,1
APO,3
APOG,2
APPF,1
APRD,1
APRH,1
APRP,1
APRT,1
APRW,1
APRZ,1
APUE,1
APYX,1
AQMS,1
AQU,1
AQUNU,1
ARCH,1
ARDT,1
AREC,3
AREN,1
ARGD,1
ARGT,1
ARIS,1
ARKA,1
ARKB,1
ARKC,1
ARKD,1
ARKF,1
ARKK,1
ARKQ,1
ARKW,1
ARKX,1
ARKY,1
ARKZ,1
ARL,1
ARLO,1
ARLU,1
AROW,2
ARQ,2
ARQQ,1
ARQT,1
ARTV,1
ARTY,1
ARVR,1
AS,1
ASAN,1
ASBA,1
ASCBU,2
ASG,1
ASND,1
ASRT,1
ASRV,1
ASYS,1
ATCH,1
ATEN,1
ATEX,1
ATFV,1
ATGL,2
ATLC,1
ATMV,1
ATOM,1
ATR,3
ATS,1
ATXS,3
AUB,2
AUBN,1
AUGM,1
AUGP,1
AUGT,1
AUGU,1
AUGW,1
AUGZ,1
AUPH,1
AUR,1
AUUD,1
AVDL,1
AVDX,1
AVEE,1
AVK,1
AVLC,1
AVO,1
AVPT,1
AVSC,1
AVSU,1
AVT,1
AVXL,1
AWAY,1
AWH,1
AWR,2
AWX,1
AX,2
AXL,1
AXR,2
AXS,1
AZ,2
AZEK,1
AZI,1
AZZ,1
BALI,1
BALT,1
BAMA,1
BAMG,1
BAMO,1
BAMY,1
BANC,2
BANF,1
BAPR,1
BARK,1
BAUG,1
BAYAU,1
BBAI,1
BBIP,1
BBLU,1
BBSA,1
BBSC,1
BBSI,1
BBU,1
BBUC,1
BBUS,1
BBW,1
BBWI,1
BCAB,2
BCAL,1
BCAN,1
BCBP,1
BCHP,1
BCPC,1
BCV,1
BDEC,2
BDGS,1
BDN,1
BDSX,1
BE,1
BEAT,1
BEDZ,1
BEKE,3
BELFA,1
BELFB,1
BELT,1
BEN,2
BEPC,3
BETE,1
BETH,1
BFC,1
BFEB,1
BFH,1
BFIX,1
BFLY,1
BFS,1
BGB,1
BGRO,1
BGS,1
BGT,1
BGX,1
BH,1
BHACU,3
BHE,2
BHFAL,1
BHLB,2
BHM,1
BHR,1
BHRB,1
BHV,1
BIGC,1
BILI,3
BILZ,1
BIOR,2
BIRK,1
BITB,1
BITC,1
